method,dataset,site,horizon_steps,forecast_kind,mae,rmse,sum_absolute_error,sum_squared_error,points,origins
E1_original_chronos2,MMSP_published_series,48,1,post,0.038042135536670685,0.08013357222080231,96.8172378540039,16.342437744140625,2545,2545
E1_original_chronos2,MMSP_published_series,48,4,raw,0.05019954591989517,0.10428912192583084,511.0313720703125,110.71992492675781,10180,2545
E1_original_chronos2,MMSP_published_series,48,4,post,0.05027271434664726,0.10428980737924576,511.7762451171875,110.72138977050781,10180,2545
E1_original_chronos2,MMSP_published_series,48,24,raw,0.06781716644763947,0.1420980542898178,4142.2724609375,1233.318603515625,61080,2545
E1_original_chronos2,MMSP_published_series,48,24,post,0.06786485761404037,0.14209523797035217,4145.185546875,1233.2698974609375,61080,2545
E0_last_value,MMSP_published_series,51,1,raw,0.06327689439058304,0.10643354058265686,161.03970336914062,28.830013275146484,2545,2545
E0_last_value,MMSP_published_series,51,1,post,0.06327689439058304,0.10643354058265686,161.03970336914062,28.830013275146484,2545,2545
E0_last_value,MMSP_published_series,51,4,raw,0.1283116340637207,0.20872166752815247,1306.21240234375,443.4889831542969,10180,2545
E0_last_value,MMSP_published_series,51,4,post,0.1283116340637207,0.20872166752815247,1306.21240234375,443.4889831542969,10180,2545
E0_last_value,MMSP_published_series,51,24,raw,0.2442331165075302,0.342902272939682,14917.7587890625,7181.90673828125,61080,2545
E0_last_value,MMSP_published_series,51,24,post,0.2442331165075302,0.342902272939682,14917.7587890625,7181.90673828125,61080,2545
E0_daily_seasonal_persistence,MMSP_published_series,51,1,raw,0.0666700229048729,0.14072473347187042,169.6752166748047,50.3997802734375,2545,2545
E0_daily_seasonal_persistence,MMSP_published_series,51,1,post,0.0666700229048729,0.14072473347187042,169.6752166748047,50.3997802734375,2545,2545
E0_daily_seasonal_persistence,MMSP_published_series,51,4,raw,0.0666700229048729,0.14072473347187042,678.7008056640625,201.59912109375,10180,2545
E0_daily_seasonal_persistence,MMSP_published_series,51,4,post,0.0666700229048729,0.14072473347187042,678.7008056640625,201.59912109375,10180,2545
E0_daily_seasonal_persistence,MMSP_published_series,51,24,raw,0.0665975883603096,0.14068488776683807,4067.78076171875,1208.909912109375,61080,2545
E0_daily_seasonal_persistence,MMSP_published_series,51,24,post,0.0665975883603096,0.14068488776683807,4067.78076171875,1208.909912109375,61080,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,51,1,raw,0.058752406388521194,0.11590398102998734,149.52487182617188,34.18885040283203,2545,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,51,1,post,0.058752406388521194,0.11590398102998734,149.52487182617188,34.18885040283203,2545,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,51,4,raw,0.058752406388521194,0.11590398102998734,598.0994873046875,136.75540161132812,10180,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,51,4,post,0.058752406388521194,0.11590398102998734,598.0994873046875,136.75540161132812,10180,2545
